problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
DOCSLS,clarabel,default,0.0003722440014826,True,0.0,1.910924751769016e-10,3.9554901576366326e-08
DOCSLS,clarabel,high_accuracy,0.0002628939982969,True,0.0,1.91491267287347e-12,3.9554670649977197e-10
DOCSLS,clarabel,low_accuracy,0.0002751250030996,True,0.0,1.9140170213205465e-06,0.0003943359284628
DOCSLS,clarabel,mid_accuracy,0.0002903119966504,True,0.0,1.910924751769016e-10,3.9554901576366326e-08
DOCSLS,cvxopt,default,0.0008183609970728,True,0.0,3.552713678800501e-15,1.075021118346342e-06
DOCSLS,cvxopt,high_accuracy,0.0008621159977337,True,0.0,3.552713678800501e-15,1.075021118346342e-06
DOCSLS,cvxopt,low_accuracy,0.0011123969998152,True,0.0,3.552713678800501e-15,1.075021118346342e-06
DOCSLS,cvxopt,mid_accuracy,0.0007697209985053,True,0.0,3.552713678800501e-15,1.075021118346342e-06
DOCSLS,daqp,default,0.000130968997837,True,8.881784197001252e-16,5.3290705182007506e-15,6.217248937900877e-15
DOCSLS,daqp,high_accuracy,0.0001446949972887,True,8.881784197001252e-16,5.3290705182007506e-15,6.217248937900877e-15
DOCSLS,daqp,low_accuracy,0.0001346940007351,True,8.881784197001252e-16,5.3290705182007506e-15,6.217248937900877e-15
DOCSLS,daqp,mid_accuracy,0.0001431740020052,True,8.881784197001252e-16,5.3290705182007506e-15,6.217248937900877e-15
DOCSLS,ecos,default,0.0005280570003378,True,0.0,7.313819480714301e-05,2.1637012024733338e-05
DOCSLS,ecos,high_accuracy,0.0004431110028235,True,0.0,7.313819480714301e-05,2.1637012024733338e-05
DOCSLS,ecos,low_accuracy,0.000427879000199,True,0.0,7.313819480714301e-05,2.1637012024733338e-05
DOCSLS,ecos,mid_accuracy,0.0004697730000771,True,0.0,7.313819480714301e-05,2.1637012024733338e-05
DOCSLS,highs,default,0.000934634997975,True,0.0,1.740053048315815e-07,3.0489009983369897e-07
DOCSLS,highs,high_accuracy,0.0010516399997868,True,0.0,1.740053048315815e-07,3.0489009983369897e-07
DOCSLS,highs,low_accuracy,0.0007893570000305,True,0.0,1.740053048315815e-07,3.0489009983369897e-07
DOCSLS,highs,mid_accuracy,0.0008736999989196,True,0.0,1.740053048315815e-07,3.0489009983369897e-07
DOCSLS,hpipm,default,0.0007921960022940766,True,0.0,2.220446049250313e-15,4.440892098500626e-15
DOCSLS,hpipm,high_accuracy,0.0007733839993306901,True,0.0,2.220446049250313e-15,4.440892098500626e-15
DOCSLS,hpipm,low_accuracy,0.000760537001042394,True,0.0,7.105427357601002e-15,2.4503436723222194e-05
DOCSLS,hpipm,mid_accuracy,0.0007593119989905972,True,0.0,2.220446049250313e-15,4.440892098500626e-15
DOCSLS,osqp,default,0.000516896998306,True,2.620890340132576e-05,4.048884051854884e-05,2.094502753013927e-05
DOCSLS,osqp,high_accuracy,0.00053165600184,True,4.092504113373252e-11,1.1510969954997563e-10,5.941291902900048e-11
DOCSLS,osqp,low_accuracy,0.0005155760009074,True,2.620890340132576e-05,4.048884051854884e-05,2.094502753013927e-05
DOCSLS,osqp,mid_accuracy,0.000559374999284,True,4.092504113373252e-11,1.1510969954997563e-10,5.941291902900048e-11
DOCSLS,piqp,default,0.0001574179987073,True,4.594489233511467e-10,1.294453433331455e-09,2.2051285242241647e-09
DOCSLS,piqp,high_accuracy,0.0001608899983693,True,4.594102875898898e-12,1.2949641359227826e-11,2.205169380431471e-11
DOCSLS,piqp,low_accuracy,0.000171366998984,True,4.594601269225507e-06,1.2944497769673546e-05,2.205229667140429e-05
DOCSLS,piqp,mid_accuracy,0.0001476210018154,True,4.5945466542463016e-08,1.2944499250266972e-07,2.205185332115889e-07
DOCSLS,proxqp,default,0.0001382599984935,True,0.0,5.438415381142647e-06,2.471599573304985
DOCSLS,proxqp,high_accuracy,0.000192778003111,True,0.0,7.105427357601002e-15,2.0730528405010768e-10
DOCSLS,proxqp,low_accuracy,0.0001525810002931,True,0.0,2.042379776412417e-08,0.0003690084493817
DOCSLS,proxqp,mid_accuracy,0.0002678609998838,True,0.0,3.6255443092159108e-12,6.558103837761564e-08
DOCSLS,qpalm,default,0.000348904999555,True,0.0,5.3716258108238435e-09,0.0001506391332277
DOCSLS,qpalm,high_accuracy,0.0002723470024648,True,8.30047142130752e-12,9.64561763794336e-13,4.069544701224004e-11
DOCSLS,qpalm,low_accuracy,0.000324864002323,True,0.0,5.3716258108238435e-09,0.0001506391332277
DOCSLS,qpalm,mid_accuracy,0.0003205709981557,True,0.0,2.6617819059993053e-11,7.966581714313747e-07
DOCSLS,qpoases,default,0.0002582099987193,True,4.440892098500626e-16,5.3290705182007506e-15,2.664535259100376e-15
DOCSLS,qpoases,high_accuracy,0.0002714330003072,True,0.0,5.3290705182007506e-15,0.0
DOCSLS,qpoases,low_accuracy,0.0001990109994949,True,0.0,1.2434497875801752e-14,1.7150725284409418e-12
DOCSLS,qpoases,mid_accuracy,0.0002552730002207,True,4.440892098500626e-16,5.3290705182007506e-15,2.664535259100376e-15
DOCSLS,quadprog,default,7.69260004744865e-05,True,4.440892098500626e-16,1.7763568394002505e-14,5.3290705182007506e-15
DOCSLS,quadprog,high_accuracy,8.416200216743164e-05,True,4.440892098500626e-16,1.7763568394002505e-14,5.3290705182007506e-15
DOCSLS,quadprog,low_accuracy,8.334900121553801e-05,True,4.440892098500626e-16,1.7763568394002505e-14,5.3290705182007506e-15
DOCSLS,quadprog,mid_accuracy,8.569999772589654e-05,True,4.440892098500626e-16,1.7763568394002505e-14,5.3290705182007506e-15
DOCSLS,scs,default,0.0005102520008222,True,3.830348623834468e-06,6.511004544407228e-07,2.372805030059766e-05
DOCSLS,scs,high_accuracy,0.0005627259997709,True,0.0,7.993605777301127e-15,2.4868995751603507e-14
DOCSLS,scs,low_accuracy,0.0005239249985606,True,3.830348623834468e-06,6.511004544407228e-07,2.372805030059766e-05
DOCSLS,scs,mid_accuracy,0.0005436339997686,True,3.925835878604289e-09,6.673408492474663e-10,2.4319604996492217e-08
GNAR0,clarabel,default,0.0002531129975977,True,0.0,1.1102230246251563e-16,1.1102230246251563e-16
GNAR0,clarabel,high_accuracy,0.0002204529992013,True,0.0,1.1102230246251563e-16,1.1102230246251563e-16
GNAR0,clarabel,low_accuracy,0.0002219770030933,True,0.0,1.1102230246251563e-16,1.1102230246251563e-16
GNAR0,clarabel,mid_accuracy,0.0003542919985193,True,0.0,1.1102230246251563e-16,1.1102230246251563e-16
GNAR0,cvxopt,default,0.0002601599990157,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,cvxopt,high_accuracy,0.000273758003459,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,cvxopt,low_accuracy,0.0003285519997007,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,cvxopt,mid_accuracy,0.0002777379995677,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,daqp,default,0.0001343530020676,True,0.0,0.0,1.1102230246251563e-16
GNAR0,daqp,high_accuracy,0.0001366729993605,True,0.0,0.0,1.1102230246251563e-16
GNAR0,daqp,low_accuracy,0.0001413460013282,True,0.0,0.0,1.1102230246251563e-16
GNAR0,daqp,mid_accuracy,0.000130424999952,True,0.0,0.0,1.1102230246251563e-16
GNAR0,ecos,default,0.0008355179998034,True,5.88862292261183e-13,6.322622286136781e-05,6.322622345156237e-05
GNAR0,ecos,high_accuracy,0.0009713740000734,True,5.88862292261183e-13,6.322622286136781e-05,6.322622345156237e-05
GNAR0,ecos,low_accuracy,0.0009885389990813,True,5.88862292261183e-13,6.322622286136781e-05,6.322622345156237e-05
GNAR0,ecos,mid_accuracy,0.0009676499976194,True,5.88862292261183e-13,6.322622286136781e-05,6.322622345156237e-05
GNAR0,highs,default,0.0007396869987132,True,0.0,9.99909373078367e-08,9.99909371968144e-08
GNAR0,highs,high_accuracy,0.0007914749985502,True,0.0,9.99909373078367e-08,9.99909371968144e-08
GNAR0,highs,low_accuracy,0.0006987699998717,True,0.0,9.99909373078367e-08,9.99909371968144e-08
GNAR0,highs,mid_accuracy,0.0007586950014228,True,0.0,9.99909373078367e-08,9.99909371968144e-08
GNAR0,hpipm,default,0.000605843000812456,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,hpipm,high_accuracy,0.0006418009979825001,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,hpipm,low_accuracy,0.0006541389993799385,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,hpipm,mid_accuracy,0.0009348149978904985,True,2.220446049250313e-16,0.0,3.3306690738754696e-16
GNAR0,osqp,default,0.0003324530007375,True,0.000227028727782,0.0004738300373937,0.0007007845276835
GNAR0,osqp,high_accuracy,0.0003314909990876,True,2.886579864025407e-15,9.103828801926284e-15,1.199040866595169e-14
GNAR0,osqp,low_accuracy,0.0002537479995226,True,0.000227028727782,0.0004738300373937,0.0007007845276835
